n       posloss (since)  posacc (since) negloss (since)  negacc (since)      dt
1         0.000 (0.000)   0.000 (0.000)   1.976 (1.976)   0.000 (0.000)   2.5 s
2         4.654 (4.654)   1.000 (1.000)   1.976 (0.000)   0.000 (0.000)  4.32 s
4         4.654 (0.000)   1.000 (0.000)   1.203 (0.816)   0.000 (0.000)  8.23 s
8         1.729 (0.754)   0.750 (0.667)   1.166 (1.056)   0.000 (0.000)  16.2 s
16        1.309 (0.469)   0.667 (0.500)   0.842 (0.626)   0.100 (0.167)  32.2 s
32        1.041 (0.505)   0.556 (0.333)   0.655 (0.511)   0.130 (0.154)  1.04 m
64        0.850 (0.507)   0.357 (0.000)   0.573 (0.503)   0.180 (0.222)  2.05 m
128       0.657 (0.477)   0.517 (0.667)   0.543 (0.512)   0.162 (0.143)  4.12 m
256       0.568 (0.464)   0.537 (0.560)   0.522 (0.503)   0.213 (0.262)  8.31 m
512       0.517 (0.469)   0.559 (0.579)   0.514 (0.506)   0.204 (0.196)  16.4 m
1024      0.465 (0.414)   0.670 (0.779)   0.509 (0.504)   0.233 (0.261)  32.9 m
2048      0.406 (0.343)   0.762 (0.861)   0.502 (0.495)   0.220 (0.207)   1.1 h
4096      0.317 (0.221)   0.828 (0.900)   0.494 (0.486)   0.224 (0.228)   2.2 h
8192      0.253 (0.188)   0.867 (0.908)   0.488 (0.481)   0.226 (0.229)  4.43 h
16384     0.203 (0.152)   0.899 (0.931)   0.482 (0.476)   0.232 (0.237)  8.88 h
