ik_save_dir=ik_save_dir/save_ik_10000 skip_initial_count = 20000 beta=0.3 sigma=0.1 gamma0=10.0
n             fhatloss (since) inferredreward (since)     truereward (since)      dt
1                0.004 (0.004)          0.000 (0.000)          0.000 (0.000)  2.09 s
2                0.245 (0.485)          0.243 (0.486)          0.500 (1.000)   3.1 s
4                2.523 (4.800)          0.372 (0.500)          0.500 (0.500)  5.22 s
8                1.745 (0.966)          0.283 (0.194)          0.375 (0.250)  9.17 s
16               1.077 (0.409)          0.266 (0.250)          0.312 (0.250)  16.7 s
32               0.832 (0.587)          0.321 (0.375)          0.438 (0.562)  32.3 s
64               0.580 (0.327)          0.305 (0.289)          0.375 (0.312)  1.09 m
128              0.489 (0.399)          0.301 (0.297)          0.344 (0.312)   2.2 m
256              0.432 (0.375)          0.364 (0.427)          0.438 (0.531)  4.39 m
512              0.347 (0.262)          0.496 (0.628)          0.580 (0.723)  8.78 m
1001             0.280 (0.210)          0.599 (0.707)          0.685 (0.796)  17.3 m
2001             0.234 (0.188)          0.650 (0.701)          0.747 (0.809)  34.6 m
3001             0.214 (0.173)          0.676 (0.727)          0.779 (0.842)    52 m
4001             0.198 (0.150)          0.689 (0.729)          0.792 (0.831)  1.16 h
5001             0.187 (0.144)          0.706 (0.775)          0.809 (0.876)  1.45 h
6001             0.181 (0.153)          0.715 (0.760)          0.820 (0.875)  1.75 h
7001             0.177 (0.154)          0.720 (0.747)          0.828 (0.876)  2.04 h
8001             0.174 (0.152)          0.724 (0.755)          0.834 (0.878)  2.33 h
9001             0.170 (0.132)          0.732 (0.790)          0.840 (0.891)  2.62 h
10001            0.170 (0.173)          0.735 (0.767)          0.846 (0.895)  2.92 h
10130            0.170 (0.162)          0.736 (0.814)          0.846 (0.884)  2.96 h
